,Запах,Движение,Заводится,Свет,Тормоза,Неисправность
0,Сильный,Ровное,Хорошо,Работает,Работает,Да
1,Сильный,Ровное,Хорошо,Работает,Неполадки,Да
2,Сильный,Ровное,Хорошо,Неполадки,Работает,Да
3,Сильный,Ровное,Хорошо,Неполадки,Неполадки,Да
4,Сильный,Ровное,Плохо,Работает,Работает,Да
5,Сильный,Ровное,Плохо,Работает,Неполадки,Да
6,Сильный,Ровное,Плохо,Неполадки,Работает,Да
7,Сильный,Ровное,Плохо,Неполадки,Неполадки,Да
8,Сильный,Ровное,Нет,Работает,Работает,Да
9,Сильный,Ровное,Нет,Работает,Неполадки,Да
10,Сильный,Ровное,Нет,Неполадки,Работает,Да
11,Сильный,Ровное,Нет,Неполадки,Неполадки,Да
12,Сильный,Ведет,Хорошо,Работает,Работает,Да
13,Сильный,Ведет,Хорошо,Работает,Неполадки,Да
14,Сильный,Ведет,Хорошо,Неполадки,Работает,Да
15,Сильный,Ведет,Хорошо,Неполадки,Неполадки,Да
16,Сильный,Ведет,Плохо,Работает,Работает,Да
17,Сильный,Ведет,Плохо,Работает,Неполадки,Да
18,Сильный,Ведет,Плохо,Неполадки,Работает,Да
19,Сильный,Ведет,Плохо,Неполадки,Неполадки,Да
20,Сильный,Ведет,Нет,Работает,Работает,Да
21,Сильный,Ведет,Нет,Работает,Неполадки,Да
22,Сильный,Ведет,Нет,Неполадки,Работает,Да
23,Сильный,Ведет,Нет,Неполадки,Неполадки,Да
24,Сильный,Нет,Хорошо,Работает,Работает,Да
25,Сильный,Нет,Хорошо,Работает,Неполадки,Да
26,Сильный,Нет,Хорошо,Неполадки,Работает,Да
27,Сильный,Нет,Хорошо,Неполадки,Неполадки,Да
28,Сильный,Нет,Плохо,Работает,Работает,Да
29,Сильный,Нет,Плохо,Работает,Неполадки,Да
30,Сильный,Нет,Плохо,Неполадки,Работает,Да
31,Сильный,Нет,Плохо,Неполадки,Неполадки,Да
32,Сильный,Нет,Нет,Работает,Работает,Да
33,Сильный,Нет,Нет,Работает,Неполадки,Да
34,Сильный,Нет,Нет,Неполадки,Работает,Да
35,Сильный,Нет,Нет,Неполадки,Неполадки,Да
36,Слабый,Ровное,Хорошо,Работает,Работает,Нет
37,Слабый,Ровное,Хорошо,Работает,Неполадки,Да
38,Слабый,Ровное,Хорошо,Неполадки,Работает,Да
39,Слабый,Ровное,Хорошо,Неполадки,Неполадки,Да
40,Слабый,Ровное,Плохо,Работает,Работает,Нет
41,Слабый,Ровное,Плохо,Работает,Неполадки,Да
42,Слабый,Ровное,Плохо,Неполадки,Работает,Да
43,Слабый,Ровное,Плохо,Неполадки,Неполадки,Да
44,Слабый,Ровное,Нет,Работает,Работает,Да
45,Слабый,Ровное,Нет,Работает,Неполадки,Да
46,Слабый,Ровное,Нет,Неполадки,Работает,Да
47,Слабый,Ровное,Нет,Неполадки,Неполадки,Да
48,Слабый,Ведет,Хорошо,Работает,Работает,Нет
49,Слабый,Ведет,Хорошо,Работает,Неполадки,Да
50,Слабый,Ведет,Хорошо,Неполадки,Работает,Да
51,Слабый,Ведет,Хорошо,Неполадки,Неполадки,Да
52,Слабый,Ведет,Плохо,Работает,Работает,Нет
53,Слабый,Ведет,Плохо,Работает,Неполадки,Да
54,Слабый,Ведет,Плохо,Неполадки,Работает,Да
55,Слабый,Ведет,Плохо,Неполадки,Неполадки,Да
56,Слабый,Ведет,Нет,Работает,Работает,Да
57,Слабый,Ведет,Нет,Работает,Неполадки,Да
58,Слабый,Ведет,Нет,Неполадки,Работает,Да
59,Слабый,Ведет,Нет,Неполадки,Неполадки,Да
60,Слабый,Нет,Хорошо,Работает,Работает,Да
61,Слабый,Нет,Хорошо,Работает,Неполадки,Да
62,Слабый,Нет,Хорошо,Неполадки,Работает,Да
63,Слабый,Нет,Хорошо,Неполадки,Неполадки,Да
64,Слабый,Нет,Плохо,Работает,Работает,Да
65,Слабый,Нет,Плохо,Работает,Неполадки,Да
66,Слабый,Нет,Плохо,Неполадки,Работает,Да
67,Слабый,Нет,Плохо,Неполадки,Неполадки,Да
68,Слабый,Нет,Нет,Работает,Работает,Да
69,Слабый,Нет,Нет,Работает,Неполадки,Да
70,Слабый,Нет,Нет,Неполадки,Работает,Да
71,Слабый,Нет,Нет,Неполадки,Неполадки,Да
72,Нет,Ровное,Хорошо,Работает,Работает,Нет
73,Нет,Ровное,Хорошо,Работает,Неполадки,Да
74,Нет,Ровное,Хорошо,Неполадки,Работает,Да
75,Нет,Ровное,Хорошо,Неполадки,Неполадки,Да
76,Нет,Ровное,Плохо,Работает,Работает,Нет
77,Нет,Ровное,Плохо,Работает,Неполадки,Да
78,Нет,Ровное,Плохо,Неполадки,Работает,Да
79,Нет,Ровное,Плохо,Неполадки,Неполадки,Да
80,Нет,Ровное,Нет,Работает,Работает,Да
81,Нет,Ровное,Нет,Работает,Неполадки,Да
82,Нет,Ровное,Нет,Неполадки,Работает,Да
83,Нет,Ровное,Нет,Неполадки,Неполадки,Да
84,Нет,Ведет,Хорошо,Работает,Работает,Нет
85,Нет,Ведет,Хорошо,Работает,Неполадки,Да
86,Нет,Ведет,Хорошо,Неполадки,Работает,Да
87,Нет,Ведет,Хорошо,Неполадки,Неполадки,Да
88,Нет,Ведет,Плохо,Работает,Работает,Нет
89,Нет,Ведет,Плохо,Работает,Неполадки,Да
90,Нет,Ведет,Плохо,Неполадки,Работает,Да
91,Нет,Ведет,Плохо,Неполадки,Неполадки,Да
92,Нет,Ведет,Нет,Работает,Работает,Да
93,Нет,Ведет,Нет,Работает,Неполадки,Да
94,Нет,Ведет,Нет,Неполадки,Работает,Да
95,Нет,Ведет,Нет,Неполадки,Неполадки,Да
96,Нет,Нет,Хорошо,Работает,Работает,Да
97,Нет,Нет,Хорошо,Работает,Неполадки,Да
98,Нет,Нет,Хорошо,Неполадки,Работает,Да
99,Нет,Нет,Хорошо,Неполадки,Неполадки,Да
100,Нет,Нет,Плохо,Работает,Работает,Да
101,Нет,Нет,Плохо,Работает,Неполадки,Да
102,Нет,Нет,Плохо,Неполадки,Работает,Да
103,Нет,Нет,Плохо,Неполадки,Неполадки,Да
104,Нет,Нет,Нет,Работает,Работает,Да
105,Нет,Нет,Нет,Работает,Неполадки,Да
106,Нет,Нет,Нет,Неполадки,Работает,Да
107,Нет,Нет,Нет,Неполадки,Неполадки,Да
